id,text
1,"The plastic things on the end of shoelaces are called aglets."
2,"Nepal is the only country that doesn't have a rectangular flag."
3,"The Hawaiian alphabet has only 12 letters."
4,"Tigers have striped skin, not just striped fur."
5,"Cats have over 100 vocal sounds; dogs only have about 10."
6,"A cow gives nearly 200,000 glasses of milk in her lifetime."
7,"Greenland is the largest island in the world."
8,"The fingerprints of koala bears are virtually indistinguishable from those of humans."
9,"Human thighbones are stronger than concrete."
10,"The letters KGB stand for Komitet Gosudarstvennoy Bezopasnosti."
11,"The name Wendy was popularized by the book ""Peter Pan"" (though not invented by it)."
12,"The thyroid cartilage is more commonly known as the Adam's apple."
13,"The Australian $5 to $100 notes are made of plastic (polymer)."
14,"Cats' urine glows under a black light."
15,"The world's oldest piece of chewing gum is over 5,000 years old."
16,"Most dust particles in your house are made from dead skin."
17,"During his entire life, Vincent Van Gogh sold very few paintings (possibly only one during his lifetime)."
18,"The number ""four"" is considered unlucky in Japan because it is pronounced the same as ""death""."
19,"A cow can walk upstairs but not downstairs easily."
20,"Andorra has one of the longest average lifespans in the world."
21,"There is a hotel in Sweden built entirely out of ice; it is rebuilt every year."
22,"Nutmeg is extremely poisonous if consumed in large quantities."
23,"More people are killed annually by donkeys than by airplane crashes."
24,"Ancient Egyptians shaved off their eyebrows to mourn the deaths of their cats."
25,"Peanuts are one of the ingredients that can be used to make dynamite (peanut oil)."
26,"In 1386, a pig in France was executed by public hanging for the murder of a child."
27,"Hershey's Kisses are called that because the machine that makes them looks like it's kissing the conveyor belt."
28,"Women blink nearly twice as much as men."
29,"Humans are the only primates that don't have pigment in the palms of their hands."
30,"Mel Blanc (the voice of Bugs Bunny) was allergic to carrots."
31,"Jim Henson first coined the word ""Muppet"". It is a combination of ""marionette"" and ""puppet."""
32,"Al Capone's business card said he was a used furniture dealer."
33,"The highest point in Pennsylvania is lower than the lowest point in Colorado."
34,"The eyes are always the same size from birth, but our nose and ears never stop growing."
35,"Chocolate can kill dogs; it directly affects their heart and nervous system."
36,"The U.S. military operates over 200 golf courses."
37,"The most popular first name in the world is Muhammad."
38,"Coca-Cola contained coca (whose active ingredient is cocaine) from 1885 to 1903."
39,"There are about 2-3 chickens for every human in the world."
40,"The Guinness Book of Records holds the record for being the book most often stolen from libraries."
41,"Most lipstick contains fish scales (or similar ingredients for shimmer)."
42,"John Adams and Thomas Jefferson both died on July 4th, 1826."
43,"The Boston University Bridge is one of the few places where a boat can sail under a train driving under a car driving under an airplane."
44,"Half of all Americans live within 50 miles of their birthplace."
45,"Frank Lloyd Wright's son invented Lincoln Logs."
46,"Bees have 5 eyes. There are 3 small eyes on the top of a bee's head and 2 larger ones in front."
47,"""Almost"" is the longest word in the English language with all the letters in alphabetical order."
48,"Iceland consumes more Coca-Cola per capita than any other nation."
49,"The male seahorse carries the eggs until they hatch instead of the female."
50,"Porcupines can float in water."
51,"The katydid bug hears through holes in its hind legs."
52,"A standard 2"" × 4"" piece of lumber is actually 1.5"" × 3.5""."
53,"""Stewardesses"" is the longest word typed with only the left hand."
54,"Hawaii is the only U.S. state that grows coffee commercially."
55,"Half of all bank robberies take place on a Friday."
56,"Emus and kangaroos cannot walk backwards, and are on the Australian coat of arms for that reason."
57,"Cranberries are sorted for ripeness by bouncing them; a fully ripened cranberry can be dribbled like a basketball."
58,"A giraffe can clean its ears with its 21-inch tongue."
59,"No word in the English language rhymes with ""month""."
60,"Almonds are a member of the peach family."
61,"Like fingerprints, everyone's tongue print is different."
62,"The longest recorded flight of a chicken is 13 seconds."
63,"In Vermont, the ratio of cows to people is approximately 10:1."
64,"The pancreas produces insulin."
65,"Every time you lick a stamp, you're consuming about 1/10 of a calorie."
66,"A sneeze travels out of your mouth at over 100 miles per hour."
67,"The average person walks the equivalent of three times around the world in a lifetime."
68,"Honey is the only food that doesn't spoil."
69,"A shrimp's heart is in its head."
70,"Slugs have four noses."
71,"Elephants are the only animals that can't jump."
72,"A rhinoceros' horn is made of hair."
73,"physically impossible for a human to lick their own elbow."
74,"A crocodile cannot stick its tongue out."
75,"Starfish don't have brains."
76,"Polar bears are left-pawed (though not all of them)."
77,"Approximately 90% of the population is right-handed."
78,"The dot over the letter 'i' is called a tittle."
79,"Typewriter is the longest word that can be typed using only the top row of a QWERTY keyboard."
80,"The word ""set"" has more definitions than any other word in the English language."
81,"""Underground"" is the only word in the English language that begins and ends with the letters ""und""."
82,"There are more possible iterations of a game of chess than there are atoms in the known universe."
83,"Bananas are berries, but strawberries aren't."
84,"Octopuses have three hearts."
85,"Wombat poop is cube-shaped."
86,"A group of flamingos is called a ""flamboyance""."
87,"A group of crows is called a ""murder""."
88,"A group of owls is called a ""parliament""."
89,"The unicorn is national animal of Scotland."
90,"Saudi Arabia imports camels from Australia."
91,"The shortest war in history was between Britain and Zanzibar on August 27, 1897. Zanzibar surrendered after 38 minutes."
92,"The Eiffel Tower can be 15 cm taller during the summer due to thermal expansion."
93,"Venus is the only planet that spins clockwise."
94,"A day on Venus is longer than a year on Venus."
95,"The Great Wall of China is not visible from space with the naked eye."
96,"There are more trees on Earth than stars in the Milky Way galaxy."
97,"Russia has a larger surface area than Pluto."
98,"The human nose can detect over 1 trillion different scents."
99,"The brain uses 20% of your body's energy while being only 2% of your body weight."
100,"The human body contains enough iron to make a 3-inch nail."
101,"Humans produce about 1 liter of saliva every day."
102,"The average person farts 14 times a day."
103,"The stomach acid is strong enough to dissolve razor blades."
104,"Humans can't hum while holding your nose closed."
105,"Everyone has a unique tongue print, just like fingerprints."
106,"The human eye can distinguish about 10 million different colors."
107,"Babies are born with 300 bones, but adults only have 206."
108,"The heart beats about 100,000 times per day."
109,"Blood makes up about 8% of your body weight."
110,"The average person will spend 6 months of their life waiting for red lights to turn green."
111,"Humans share your birthday with at least 9 million other people in the world."
112,"The average person will spend 25 years sleeping."
113,"Humans shed about 600,000 particles of skin every hour."
114,"The average person produces enough saliva in their lifetime to fill two swimming pools."
115,"The left lung is smaller than your right lung to make room for your heart."
116,"The human body has enough fat to make seven bars of soap."
117,"Humans are the only animals that blush."
118,"The strongest muscle in the human body is the masseter (jaw muscle)."
119,"The hair grows faster in warm weather."
120,"Fingernails grow nearly 4 times faster than toenails."
121,"The average person will walk about 110,000 miles in their lifetime."
122,"Humans cannot snore and dream at the same time."
123,"The average person laughs about 15 times a day."
124,"Humans are born with the ability to swim and hold their breath, but we forget as we grow."
125,"The human brain is more active during sleep than during the day."
126,"The body has enough carbon to fill 9,000 pencils."
127,"The average person will eat about 35 tons of food in their lifetime."
128,"Humans are the only species that cry emotional tears."
129,"The brain itself cannot feel pain."
130,"The nose and ears continue growing throughout your entire life."
131,"The human body has over 600 muscles."
132,"The tongue heals faster than any other part of your body."
133,"Humans glow in the dark, but the light is too dim for our eyes to see."
134,"The average person blinks about 15-20 times per minute."
135,"The eyes can distinguish between 500 shades of gray."
136,"The average person's skin weighs twice as much as their brain."
137,"Humans lose about 50-100 hairs every day."
138,"The human body contains about 37.2 trillion cells."
139,"The brain is about 75% water."
140,"The average person will spend 2 weeks of their life kissing."
141,"The small intestine is about 20 feet long."
142,"The human body produces about 25 million new cells each second."
143,"The eyes stay the same size from birth, but your nose and ears never stop growing."
144,"The average person will produce about 25,000 quarts of saliva in a lifetime."
145,"The heart will beat about 3 billion times in your lifetime."
146,"The human body has enough phosphorus to make 2,200 match heads."
147,"The brain uses 20 watts of power, about the same as a dim light bulb."
148,"The average person will spend 3 years of their life on the toilet."
149,"The blood travels 12,000 miles through your body every day."
150,"The human body has enough sulfur to kill all the fleas on a dog."
151,"Antarctica is the largest desert in the world."
152,"The Amazon rainforest produces 20% of the world's oxygen."
153,"There are more lakes in Canada than in all other countries combined."
154,"The Dead Sea is 429 meters below sea level, making it the lowest point on Earth."
155,"Lake Baikal in Russia contains 20% of the world's fresh water."
156,"The Sahara Desert is almost as large as the United States."
157,"Mount Everest grows about 4 millimeters every year."
158,"The Pacific Ocean is shrinking, while the Atlantic Ocean is growing."
159,"The world's largest living organism is a fungus in Oregon that covers 2,385 acres."
160,"There are more volcanoes in the ocean than on land."
161,"The Ring of Fire is home to 75% of the world's volcanoes."
162,"Lightning strikes the Earth about 100 times every second."
163,"A bolt of lightning is five times hotter than the surface of the sun."
164,"The driest place on Earth is the Atacama Desert in Chile."
165,"The wettest place on Earth is Mawsynram, India."
166,"The largest snowflake ever recorded was 15 inches wide."
167,"A single cloud can weigh more than 1 million pounds."
168,"The coldest temperature ever recorded on Earth was -128.6°F in Antarctica."
169,"The hottest temperature ever recorded on Earth was 134°F in Death Valley, California."
170,"The world's largest hailstone weighed 2.2 pounds."
171,"Rainbows are actually full circles, but we only see half because of the ground."
172,"Red, orange, and yellow sunsets are caused by particles in the atmosphere."
173,"The Earth's core is as hot as the surface of the sun."
174,"The Earth is not perfectly round; it's slightly flattened at the poles."
175,"The Earth's magnetic field is generated by its liquid iron core."
176,"The Earth rotates at about 1,000 miles per hour at the equator."
177,"The Earth orbits the sun at about 67,000 miles per hour."
178,"The moon is moving away from Earth at a rate of about 1.5 inches per year."
179,"The moon has moonquakes, similar to earthquakes."
180,"There is no sound in space because there's no air to carry sound waves."
181,"The sun is 400 times larger than the moon but also 400 times farther away, which is why they appear the same size."
182,"One million Earths could fit inside the sun."
183,"The sun loses about 4 million tons of mass every second."
184,"The sun will eventually become a red giant and engulf Earth."
185,"Neutron stars are so dense that a teaspoon of their material would weigh about 6 billion tons."
186,"A day on Mercury is longer than its year."
187,"Jupiter has the shortest day of all the planets (about 10 hours)."
188,"Jupiter's Great Red Spot is a storm that has been raging for at least 400 years."
189,"Saturn's rings are made of ice and rock particles."
190,"Saturn is the least dense planet; it would float in water."
191,"Uranus rotates on its side."
192,"Neptune has the strongest winds in the solar system, reaching speeds of 1,200 mph."
193,"Pluto is smaller than Russia."
194,"There are more stars in the universe than grains of sand on all the beaches on Earth."
195,"The closest star to Earth (besides the sun) is Proxima Centauri, about 4.24 light-years away."
196,"Light from the sun takes about 8 minutes to reach Earth."
197,"A light-year is about 5.88 trillion miles."
198,"The Milky Way galaxy is about 100,000 light-years wide."
199,"The Milky Way contains about 100-400 billion stars."
200,"The universe is about 13.8 billion years old."
201,"Honey never spoils. Archaeologists have found 3,000-year-old honey in Egyptian tombs that's still edible."
202,"A single spaghetti strand is called a ""spaghetto""."
203,"Apples float in water because they are 25% air."
204,"Carrots were originally purple."
205,"Ketchup was sold as medicine in the 1830s."
206,"The fear of vegetables is called lachanophobia."
207,"Peanuts are not nuts; they're legumes."
208,"Cashews grow on the bottom of a cashew apple."
209,"Strawberries are the only fruit with seeds on the outside."
210,"A cucumber is 95% water."
211,"Tomatoes have more genes than humans."
212,"The most expensive pizza in the world costs $12,000."
213,"Ranch dressing is the most popular salad dressing in the United States."
214,"Fortune cookies were invented in California, not China."
215,"Chocolate was once used as currency by the Aztecs."
216,"White chocolate isn't technically chocolate because it doesn't contain cocoa solids."
217,"The world's most expensive coffee is made from elephant dung."
218,"Pound cake got its name from its original recipe: a pound of butter, eggs, sugar, and flour."
